"Journal Data Filtered By:  Selected Categories: CARDIAC & CARDIOVASCULAR SYSTEMS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Nature Reviews Cardiology","NAT REV CARDIOL","NATURE PORTFOLIO","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","22,153","44.2","Q1","8.32","2.03"%,
"CIRCULATION","CIRCULATION","LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","177,978","38.6","Q1","9.01","19.36"%,
"EUROPEAN HEART JOURNAL","EUR HEART J","OXFORD UNIV PRESS","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","90,583","35.6","Q1","8.05","48.73"%,
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","ELSEVIER SCIENCE INC","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","117,273","22.3","Q1","5.06","20.61"%,
"CIRCULATION RESEARCH","CIRC RES","LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","64,140","16.2","Q1","4.12","15.8"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","ELSEVIER SCIENCE INC","1936-878X","1876-7591","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","17,416","15.2","Q1","3.84","21.91"%,
"JAMA Cardiology","JAMA CARDIOL","AMER MEDICAL ASSOC","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","14,345","14.1","Q1","4.03","15.27"%,
"CARDIOVASCULAR RESEARCH","CARDIOVASC RES","OXFORD UNIV PRESS","0008-6363","1755-3245","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","28,216","13.3","Q1","2.58","48.42"%,
"JACC: CardioOncology","JACC-CARDIOONCOL","ELSEVIER","2666-0873","2666-0873","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,793","12.8","Q1","2.57","93.92"%,
"JACC-Heart Failure","JACC-HEART FAIL","ELSEVIER SCI LTD","2213-1779","2213-1787","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","9,430","11.8","Q1","3.06","26.23"%,
"JACC-Cardiovascular Interventions","JACC-CARDIOVASC INTE","ELSEVIER SCIENCE INC","1936-8798","1876-7605","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","18,003","11.4","Q1","2.99","17.48"%,
"EUROPEAN JOURNAL OF HEART FAILURE","EUR J HEART FAIL","WILEY","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","21,362","10.8","Q1","3.77","54.13"%,
"Nature Cardiovascular Research","NAT CARDIOVASC RES","SPRINGERNATURE","N/A","2731-0590","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","1,796","10.8","Q1","2.82","32.77"%,
"Cardiovascular Diabetology","CARDIOVASC DIABETOL","BMC","N/A","1475-2840","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","18,535","10.6","Q1","2.51","100"%,
"Circulation-Arrhythmia and Electrophysiology","CIRC-ARRHYTHMIA ELEC","LIPPINCOTT WILLIAMS & WILKINS","1941-3149","1941-3084","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","9,673","9.8","Q1","2.2","18.38"%,
"EuroIntervention","EUROINTERVENTION","EUROPA EDITION","1774-024X","1969-6213","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","7,808","9.5","Q1","2.26","0"%,
"TRENDS IN CARDIOVASCULAR MEDICINE","TRENDS CARDIOVAS MED","ELSEVIER SCIENCE LONDON","1050-1738","1873-2615","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,437","9","Q1","2.68","18.92"%,
"Circulation-Heart Failure","CIRC-HEART FAIL","LIPPINCOTT WILLIAMS & WILKINS","1941-3289","1941-3297","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","10,871","8.4","Q1","2.1","12.77"%,
"JOURNAL OF CARDIAC FAILURE","J CARD FAIL","CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS","1071-9164","1532-8414","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","7,593","8.2","Q1","1.76","21.82"%,
"BASIC RESEARCH IN CARDIOLOGY","BASIC RES CARDIOL","SPRINGER HEIDELBERG","0300-8428","1435-1803","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,374","8","Q1","2.19","69.49"%,
"JACC-Clinical Electrophysiology","JACC-CLIN ELECTROPHY","ELSEVIER","2405-500X","2405-5018","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","7,111","7.7","Q1","2.07","17.12"%,
