"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Foundations and Trends in Machine Learning","FOUND TRENDS MACH LE","NOW PUBLISHERS INC","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","4,667","25.4","Q1","11.13","0"%,
"Nature Machine Intelligence","NAT MACH INTELL","NATURE PORTFOLIO","N/A","2522-5839","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","15,338","23.9","Q1","3.92","28.12"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","IEEE COMPUTER SOC","0162-8828","1939-3539","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","98,199","18.6","Q1","4.66","6.66"%,
"Information Fusion","INFORM FUSION","ELSEVIER","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","27,037","15.5","Q1","3.17","14.65"%,
"AI Open","AI OPEN","KEAI PUBLISHING LTD","N/A","2666-6510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,046","14.8","Q1","2.16","100"%,
"IEEE Transactions on Intelligent Vehicles","IEEE T INTELL VEHICL","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2379-8858","2379-8904","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","11,626","14.3","Q1","3.05","5.4"%,
"ARTIFICIAL INTELLIGENCE REVIEW","ARTIF INTELL REV","SPRINGER","0269-2821","1573-7462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","19,411","13.9","Q1","1.89","53.54"%,
"IEEE TRANSACTIONS ON IMAGE PROCESSING","IEEE T IMAGE PROCESS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1057-7149","1941-0042","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","84,385","13.7","Q1","2.21","3.17"%,
"Radiology-Artificial Intelligence","RADIOL-ARTIF INTELL","RADIOLOGICAL SOC NORTH AMERICA (RSNA)","2638-6100","2638-6100","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","3,232","13.2","Q1","2.38","0"%,
"Artificial Intelligence in Agriculture","ARTIF INTELL AGR","KEAI PUBLISHING LTD","2097-2113","2589-7217","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,665","12.4","Q1","2.15","98.84"%,
