"Journal Data Filtered By:  Selected Categories: ENGINEERING, BIOMEDICAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Nature Reviews Bioengineering","NAT REV BIOENG","SPRINGERNATURE","N/A","2731-6092","ENGINEERING, BIOMEDICAL","ESCI","2,516","37.6","Q1","3.25","4.92"%,
"Nature Biomedical Engineering","NAT BIOMED ENG","NATURE PORTFOLIO","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","SCIE","20,416","26.6","Q1","5.36","22.47"%,
"Bioactive Materials","BIOACT MATER","KEAI PUBLISHING LTD","N/A","2452-199X","ENGINEERING, BIOMEDICAL","SCIE","31,698","20.3","Q1","4.01","96.05"%,
"Cyborg and Bionic Systems","CYBORG BIONIC SYST","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2692-7632","ENGINEERING, BIOMEDICAL","SCIE","1,650","18.1","Q1","2.51","93.62"%,
"BIOMATERIALS","BIOMATERIALS","ELSEVIER SCI LTD","0142-9612","1878-5905","ENGINEERING, BIOMEDICAL","SCIE","107,874","12.9","Q1","2.37","14.08"%,
"IEEE Reviews in Biomedical Engineering","IEEE REV BIOMED ENG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1937-3333","1941-1189","ENGINEERING, BIOMEDICAL","SCIE","3,062","12","Q1","2.66","22.35"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","ENGINEERING, BIOMEDICAL","SCIE","24,169","11.8","Q1","2.56","31.5"%,
"Smart Medicine","SMART MED","WILEY","2751-1871","2751-1871","ENGINEERING, BIOMEDICAL","ESCI","806","11.6","Q1","1.14","97.78"%,
"Materials Today Bio","MATER TODAY BIO","ELSEVIER","2590-0064","2590-0064","ENGINEERING, BIOMEDICAL","SCIE","9,462","10.2","Q1","1.83","93.11"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0278-0062","1558-254X","ENGINEERING, BIOMEDICAL","SCIE","36,851","9.8","Q1","2.27","13.82"%,
"Acta Biomaterialia","ACTA BIOMATER","ELSEVIER SCI LTD","1742-7061","1878-7568","ENGINEERING, BIOMEDICAL","SCIE","65,158","9.6","Q1","1.69","24.07"%,
"Biomaterials Research","BIOMATER RES","AMER ASSOC ADVANCEMENT SCIENCE","1226-4601","2055-7124","ENGINEERING, BIOMEDICAL","SCIE","4,873","9.6","Q1","1.39","98.22"%,
"Advanced Healthcare Materials","ADV HEALTHC MATER","WILEY","2192-2640","2192-2659","ENGINEERING, BIOMEDICAL","SCIE","43,897","9.6","Q1","1.37","23.62"%,
"Annual Review of Biomedical Engineering","ANNU REV BIOMED ENG","ANNUAL REVIEWS","1523-9829","1545-4274","ENGINEERING, BIOMEDICAL","SCIE","5,555","9.6","Q1","1.08","50"%,
"Biofabrication","BIOFABRICATION","IOP Publishing Ltd","1758-5082","1758-5090","ENGINEERING, BIOMEDICAL","SCIE","9,343","8","Q1","1.49","44.08"%,
"BME Frontiers","BME FRONT","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2765-8031","ENGINEERING, BIOMEDICAL","ESCI","618","7.7","Q1","1.1","93.9"%,
"Progress in Biomedical Engineering","PROG BIOMED ENG","IOP Publishing Ltd","N/A","2516-1091","ENGINEERING, BIOMEDICAL","ESCI","569","7.7","Q1","0.69","62.26"%,
"Bio-Design and Manufacturing","BIO-DES MANUF","SPRINGER HEIDELBERG","2096-5524","2522-8552","ENGINEERING, BIOMEDICAL","SCIE","1,854","7.6","Q1","1.26","23.91"%,
"Photoacoustics","PHOTOACOUSTICS","ELSEVIER GMBH","2213-5979","2213-5979","ENGINEERING, BIOMEDICAL","SCIE","3,616","6.8","Q1","2.06","93.1"%,
"Biocybernetics and Biomedical Engineering","BIOCYBERN BIOMED ENG","ELSEVIER","0208-5216","0208-5216","ENGINEERING, BIOMEDICAL","SCIE","3,322","6.6","Q1","1.1","20.21"%,
"npj Regenerative Medicine","NPJ REGEN MED","NATURE PORTFOLIO","N/A","2057-3995","ENGINEERING, BIOMEDICAL","SCIE","2,702","6.5","Q1","1.42","99.44"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","PERGAMON-ELSEVIER SCIENCE LTD","0010-4825","1879-0534","ENGINEERING, BIOMEDICAL","SCIE","33,200","6.3","Q1","1.65","18.51"%,
"Artificial Intelligence in Medicine","ARTIF INTELL MED","ELSEVIER","0933-3657","1873-2860","ENGINEERING, BIOMEDICAL","SCIE","7,798","6.2","Q1","1.14","31.12"%,
"International Journal of Bioprinting","INT J BIOPRINTING","Accscience Publishing","2424-7723","2424-8002","ENGINEERING, BIOMEDICAL","SCIE","2,774","6","Q1","1.09","98.84"%,
"Bioengineering & Translational Medicine","BIOENG TRANSL MED","WILEY","N/A","2380-6761","ENGINEERING, BIOMEDICAL","SCIE","4,113","5.7","Q1","1.15","85.08"%,
"ANNALS OF BIOMEDICAL ENGINEERING","ANN BIOMED ENG","SPRINGER","0090-6964","1573-9686","ENGINEERING, BIOMEDICAL","SCIE","14,014","5.4","Q1","0.68","32.17"%,
"CLINICAL ORAL IMPLANTS RESEARCH","CLIN ORAL IMPLAN RES","WILEY","0905-7161","1600-0501","ENGINEERING, BIOMEDICAL","SCIE","15,563","5.3","Q1","1.46","44.33"%,
"IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING","IEEE T NEUR SYS REH","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1534-4320","1558-0210","ENGINEERING, BIOMEDICAL","SCIE","16,219","5.2","Q1","1.95","99.14"%,
"Journal of NeuroEngineering and Rehabilitation","J NEUROENG REHABIL","BMC","N/A","1743-0003","ENGINEERING, BIOMEDICAL","SCIE","10,023","5.2","Q1","1.51","100"%,
"Journal of Functional Biomaterials","J FUNCT BIOMATER","MDPI","N/A","2079-4983","ENGINEERING, BIOMEDICAL","SCIE","7,385","5.2","Q1","0.82","100"%,
