"Journal Data Filtered By:  Selected Categories: ENGINEERING, ELECTRICAL & ELECTRONIC Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Nature Electronics","NAT ELECTRON","NATURE PORTFOLIO","2520-1131","2520-1131","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","20,582","40.9","Q1","5.8","12.31"%,
"PROCEEDINGS OF THE IEEE","P IEEE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9219","1558-2256","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","44,868","25.9","Q1","6","24.75"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","IEEE COMPUTER SOC","0162-8828","1939-3539","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","98,199","18.6","Q1","4.66","6.66"%,
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE J SEL AREA COMM","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0733-8716","1558-0008","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","30,768","17.2","Q1","3.8","5.98"%,
"eTransportation","ETRANSPORTATION","ELSEVIER","2590-1168","2590-1168","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","4,432","17","Q1","2.73","15.05"%,
"npj Flexible Electronics","NPJ FLEX ELECTRON","NATURE PORTFOLIO","N/A","2397-4621","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","4,555","15.5","Q1","2.62","99.15"%,
"IEEE Transactions on Intelligent Vehicles","IEEE T INTELL VEHICL","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2379-8858","2379-8904","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","11,626","14.3","Q1","3.05","5.4"%,
"IEEE Journal of Selected Topics in Signal Processing","IEEE J-STSP","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1932-4553","1941-0484","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","11,047","13.7","Q1","2.62","8.7"%,
"IEEE TRANSACTIONS ON IMAGE PROCESSING","IEEE T IMAGE PROCESS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1057-7149","1941-0042","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","84,385","13.7","Q1","2.21","3.17"%,
"PROGRESS IN QUANTUM ELECTRONICS","PROG QUANT ELECTRON","PERGAMON-ELSEVIER SCIENCE LTD","0079-6727","1873-1627","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","2,093","12.5","Q1","0.91","15.56"%,
"IEEE TRANSACTIONS ON FUZZY SYSTEMS","IEEE T FUZZY SYST","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1063-6706","1941-0034","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","29,239","11.9","Q1","2.76","2.65"%,
"Protection and Control of Modern Power Systems","PROT CONTR MOD POW","Power System Protection & Control Press","2367-2617","2367-0983","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","2,589","11.9","Q1","1.73","91.11"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1284","1558-0687","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","12,680","11.5","Q1","2.57","0"%,
"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY","IEEE T CIRC SYST VID","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1051-8215","1558-2205","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","30,614","11.1","Q1","2.41","1.33"%,
"IEEE TRANSACTIONS ON CONSUMER ELECTRONICS","IEEE T CONSUM ELECTR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0098-3063","1558-4127","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","6,780","10.9","Q1","1.88","3.2"%,
"IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS","IEEE T WIREL COMMUN","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1276","1558-2248","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","53,106","10.7","Q1","2.45","5.53"%,
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING","IEEE T KNOWL DATA EN","IEEE COMPUTER SOC","1041-4347","1558-2191","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","31,820","10.4","Q1","2.71","3.13"%,
"IEEE Transactions on Sustainable Energy","IEEE T SUSTAIN ENERG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1949-3029","1949-3037","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","17,754","10","Q1","1.81","5.58"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0278-0062","1558-254X","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","36,851","9.8","Q1","2.27","13.82"%,
"IEEE Transactions on Smart Grid","IEEE T SMART GRID","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1949-3053","1949-3061","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","43,255","9.8","Q1","2.22","4.68"%,
"IEEE SIGNAL PROCESSING MAGAZINE","IEEE SIGNAL PROC MAG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1053-5888","1558-0792","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","17,314","9.6","Q1","2.26","0"%,
"Progress in Electromagnetics Research-PIER","PROG ELECTROMAGN RES","EMW PUBLISHING","1070-4698","1559-8985","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","2,676","9.3","Q1","1.49","38.89"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2327-4662","2327-4662","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","78,245","8.9","Q1","2.21","4.37"%,
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","72,345","8.9","Q1","2.21","4.48"%,
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING","IEEE T GEOSCI REMOTE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0196-2892","1558-0644","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","106,816","8.6","Q1","1.94","5.97"%,
"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","IEEE T INTELL TRANSP","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1524-9050","1558-0016","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","62,678","8.4","Q1","1.86","4.16"%,
