"Journal Data Filtered By:  Selected Categories: MATHEMATICAL & COMPUTATIONAL BIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","WILEY","1759-0876","1759-0884","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","12,176","27","Q1","3.1","37.17"%,
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","OXFORD UNIV PRESS","1467-5463","1477-4054","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","27,354","7.7","Q1","1.89","51.72"%,
"IEEE Journal of Biomedical and Health Informatics","IEEE J BIOMED HEALTH","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2194","2168-2208","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","20,045","6.8","Q1","1.84","10.98"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","PERGAMON-ELSEVIER SCIENCE LTD","0010-4825","1879-0534","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","33,200","6.3","Q1","1.65","18.51"%,
"BioData Mining","BIODATA MIN","BMC","1756-0381","1756-0381","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,456","6.1","Q1","1.33","100"%,
"Research Synthesis Methods","RES SYNTH METHODS","CAMBRIDGE UNIV PRESS","1759-2879","1759-2887","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","8,706","6.1","Q1","1.27","65.57"%,
"Annual Review of Biomedical Data Science","ANNU REV BIOMED DA S","ANNUAL REVIEWS","2574-3414","2574-3414","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","745","6","Q1","1.78","44.07"%,
"BIOINFORMATICS","BIOINFORMATICS","OXFORD UNIV PRESS","1367-4803","1367-4811","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","179,068","5.4","Q1","1.44","79.51"%,
"Interdisciplinary Sciences-Computational Life Sciences","INTERDISCIP SCI","SPRINGER HEIDELBERG","1913-2751","1867-1462","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,456","3.9","Q1","1.16","6.52"%,
"Frontiers in Bioinformatics","FRONT BIOINFORM","FRONTIERS MEDIA SA","N/A","2673-7647","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","1,025","3.9","Q1","0.73","98.62"%,
"GENETIC EPIDEMIOLOGY","GENET EPIDEMIOL","WILEY","0741-0395","1098-2272","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","6,306","3.8","Q1","0.8","43.12"%,
"PLoS Computational Biology","PLOS COMPUT BIOL","PUBLIC LIBRARY SCIENCE","1553-734X","1553-7358","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","42,510","3.6","Q1","1.04","99.82"%,
"Database-The Journal of Biological Databases and Curation","DATABASE-OXFORD","OXFORD UNIV PRESS","1758-0463","1758-0463","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","6,088","3.6","Q1","0.85","95.14"%,
"npj Systems Biology and Applications","NPJ SYST BIOL APPL","NATURE PORTFOLIO","N/A","2056-7189","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,253","3.5","Q1","1.05","100"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","BMC","1471-2105","1471-2105","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","51,590","3.3","Q1","0.87","99.79"%,
"Molecular Informatics","MOL INFORM","WILEY-V C H VERLAG GMBH","1868-1743","1868-1751","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","2,204","3.1","Q1","0.76","29.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","ELSEVIER SCIENCE INC","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","13,303","3","Q2","0.93","4.33"%,
"Current Bioinformatics","CURR BIOINFORM","BENTHAM SCIENCE PUBL LTD","1574-8936","2212-392X","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,022","2.9","Q2","0.73","3.69"%,
"NAR Genomics and Bioinformatics","NAR GENOM BIOINFORM","OXFORD UNIV PRESS","N/A","2631-9268","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","2,429","2.8","Q2","1.05","97.21"%,
